table_name,row_identifier,column_name,missing_class,missing_information_area,explanation,severity
result,result_id=32,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=33,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=34,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=35,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=36,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=37,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=38,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=39,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=40,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=50,q3_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q3_ms is missing although the position does not clearly explain elimination before Q3.,red
result,result_id=60,q1_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q1_ms is missing in a Qualifying session.,red
result,result_id=74,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=75,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=76,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=77,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=78,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=79,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=80,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=112,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=113,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=114,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=115,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=116,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=117,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=118,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=119,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=120,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=148,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=149,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=150,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=151,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=152,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=153,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=154,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=155,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=156,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=157,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=158,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=159,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=160,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=180,position,SUSPICIOUS_NULL,CLASSIFICATION_INFORMATION,"position is missing in a Qualifying session, so qualifying progression cannot be interpreted reliably.",red
result,result_id=180,q1_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q1_ms is missing in a Qualifying session.,red
result,result_id=180,q2_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q2_ms is missing although the position does not clearly explain elimination before Q2.,red
result,result_id=180,q3_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q3_ms is missing although the position does not clearly explain elimination before Q3.,red
result,result_id=188,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=189,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=190,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=191,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=192,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=193,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=194,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=195,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=196,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=197,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=198,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=199,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=200,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=219,q1_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q1_ms is missing in a Qualifying session.,red
result,result_id=220,q1_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q1_ms is missing in a Qualifying session.,red
result,result_id=237,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=238,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=239,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=240,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=255,q2_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q2_ms is missing although the position does not clearly explain elimination before Q2.,red
result,result_id=259,q1_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q1_ms is missing in a Qualifying session.,red
result,result_id=260,q1_ms,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,q1_ms is missing in a Qualifying session.,red
result,result_id=272,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=273,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=274,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=275,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=276,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=277,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=278,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=279,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=280,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=305,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=306,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=307,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=308,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=309,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
result,result_id=310,time_ms,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,time_ms is race-context information and is missing in a Race session.,yellow
