table_name,row_identifier,dimension,check_id,issue_code,issue_description,severity
lap,lap_id=16331,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16332,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16333,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16334,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16335,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16336,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16337,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16338,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16339,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16340,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16341,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16342,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16343,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16344,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16345,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16346,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16347,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16348,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16349,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16350,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16351,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16352,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
